DateTime,Hsig,Hmax,Tp,Tz,Direction
2018-08-10 00:00:00,0.76,1.42,5.56,3.32,88.86
2018-08-10 01:00:00,0.72,1.14,5.48,3.22,83.76
2018-08-10 02:00:00,0.71,1.04,4.7,3.15,82.66
2018-08-10 03:00:00,0.64,1.16,4.88,3.1,78.36
2018-08-10 04:00:00,0.59,0.95,4.68,3.0,80.82
2018-08-10 05:00:00,0.54,0.9,5.56,3.08,77.52
2018-08-10 06:00:00,0.52,0.88,5.48,3.16,77.34
2018-08-10 07:00:00,0.52,0.94,5.97,3.4,83.41
2018-08-10 08:00:00,0.56,0.98,5.97,3.36,84.9
2018-08-10 09:00:00,0.56,1.01,5.56,3.39,83.1
2018-08-10 10:00:00,0.57,1.02,4.89,3.42,86.84
2018-08-10 11:00:00,0.58,1.02,5.08,3.28,88.51
2018-08-10 12:00:00,0.57,0.98,5.14,3.02,90.31
2018-08-10 13:00:00,0.57,1.11,4.5,2.88,92.82
2018-08-10 14:00:00,0.54,0.92,4.5,2.77,86.48
2018-08-10 15:00:00,0.58,1.0,4.32,2.9,89.12
2018-08-10 16:00:00,0.62,1.21,4.08,2.92,86.8
2018-08-10 17:00:00,0.7,1.27,3.34,3.03,86.26
2018-08-10 18:00:00,0.77,1.27,4.0,3.24,89.52
2018-08-10 19:00:00,0.86,1.51,4.45,3.63,93.34
2018-08-10 20:00:00,0.89,1.68,4.9,3.82,91.1
2018-08-10 21:00:00,0.97,1.86,5.48,3.99,93.83
2018-08-10 22:00:00,0.91,1.53,5.34,3.92,95.76
2018-08-10 23:00:00,0.84,1.5,4.79,3.7,100.6
2018-08-11 00:00:00,0.73,1.32,5.41,3.31,87.63
2018-08-11 01:00:00,0.62,1.18,5.26,3.02,88.68
2018-08-11 02:00:00,0.56,1.0,4.94,2.79,85.52
2018-08-11 03:00:00,0.55,0.92,4.98,2.66,72.12
2018-08-11 04:00:00,0.48,0.81,5.13,2.69,79.41
2018-08-11 05:00:00,0.46,0.82,5.41,2.8,80.78
2018-08-11 06:00:00,0.42,0.7,4.94,2.92,80.82
2018-08-11 07:00:00,0.42,0.76,4.7,3.0,82.79
2018-08-11 08:00:00,0.41,0.67,3.88,3.12,101.12
2018-08-11 09:00:00,0.43,0.86,4.1,3.0,97.65
2018-08-11 10:00:00,0.41,0.64,5.13,3.08,89.17
2018-08-11 11:00:00,0.35,0.6,3.84,2.86,94.36
2018-08-11 12:00:00,0.32,0.56,3.98,2.76,98.05
2018-08-11 13:00:00,0.3,0.54,4.17,2.86,93.48
2018-08-11 14:00:00,0.3,0.59,3.72,2.55,94.62
2018-08-11 15:00:00,0.35,0.59,4.01,2.38,78.36
2018-08-11 16:00:00,0.39,0.8,2.23,2.33,71.85
2018-08-11 17:00:00,0.42,0.69,2.44,2.3,70.4
2018-08-11 18:00:00,0.44,0.8,2.56,2.41,67.54
2018-08-11 19:00:00,0.46,0.83,2.91,2.6,69.17
2018-08-11 20:00:00,0.46,0.82,3.25,2.75,84.2
2018-08-11 21:00:00,0.47,0.86,3.36,2.92,87.58
